continent,year,amount
Africa,1988,724696800
Africa,1989,697796860
Africa,1990,658281400
Africa,1991,687829100
Africa,1992,666901500
Africa,1993,706661500
Africa,1994,790281400
Africa,1995,844556600
Africa,1996,872320830
Africa,1997,893989200
Africa,1998,912442100
Africa,1999,899677440
Africa,2000,930042600
Africa,2001,919542850
Africa,2002,899274200
Africa,2003,988565440
Africa,2004,1044866750
Africa,2005,1063180000
Africa,2006,1092165900
Africa,2007,1122721400
Africa,2008,1175619600
Africa,2009,1173163400
Africa,2010,1215373700
Africa,2011,1255083900
Africa,2012,1255851500
Africa,2013,1265469700
Africa,2014,1344915500
Africa,2015,1319787300
Africa,2016,1355493500
Africa,2017,1369709700
Africa,2018,1357075100
Africa,2019,1457568100
Africa,2020,1356435700
Africa,2021,1435214100
Africa,2022,1416626600
Asia,1750,0
Asia,1751,0
Asia,1752,0
Asia,1753,0
Asia,1754,0
Asia,1755,0
Asia,1756,0
Asia,1757,0
Asia,1758,0
Asia,1759,0
Asia,1760,0
Asia,1761,0
Asia,1762,0
Asia,1763,0
Asia,1764,0
Asia,1765,0
Asia,1766,0
Asia,1767,0
Asia,1768,0
Asia,1769,0
Asia,1770,0
Asia,1771,0
Asia,1772,0
Asia,1773,0
Asia,1774,0
Asia,1775,0
Asia,1776,0
Asia,1777,0
Asia,1778,0
Asia,1779,0
Asia,1780,0
Asia,1781,0
Asia,1782,0
Asia,1783,0
Asia,1784,0
Asia,1785,0
Asia,1786,0
Asia,1787,0
Asia,1788,0
Asia,1789,0
Asia,1790,0
Asia,1791,0
Asia,1792,0
Asia,1793,0
Asia,1794,0
Asia,1795,0
Asia,1796,0
Asia,1797,0
Asia,1798,0
Asia,1799,0
Asia,1800,0
Asia,1801,0
Asia,1802,0
Asia,1803,0
Asia,1804,0
Asia,1805,0
Asia,1806,0
Asia,1807,0
Asia,1808,0
Asia,1809,0
Asia,1810,0
Asia,1811,0
Asia,1812,0
Asia,1813,0
Asia,1814,0
Asia,1815,0
Asia,1816,0
Asia,1817,0
Asia,1818,0
Asia,1819,0
Asia,1820,0
Asia,1821,0
Asia,1822,0
Asia,1823,0
Asia,1824,0
Asia,1825,0
Asia,1826,0
Asia,1827,0
Asia,1828,0
Asia,1829,0
Asia,1830,2126
Asia,1831,2553
Asia,1832,1701
Asia,1833,2126
Asia,1834,0
Asia,1835,0
Asia,1836,0
Asia,1837,0
Asia,1838,0
Asia,1839,0
Asia,1840,0
Asia,1841,0
Asia,1842,0
Asia,1843,0
Asia,1844,0
Asia,1845,0
Asia,1846,0
Asia,1847,0
Asia,1848,0
Asia,1849,0
Asia,1850,13187
Asia,1851,0
Asia,1852,0
Asia,1853,0
Asia,1854,0
Asia,1855,39987
Asia,1856,0
Asia,1857,0
Asia,1858,450641
Asia,1859,696040
Asia,1860,730781
Asia,1861,608614
Asia,1862,650756
Asia,1863,715165
Asia,1864,694808
Asia,1865,829874
Asia,1866,1204999
Asia,1867,636119
Asia,1868,527105
Asia,1869,747343
Asia,1870,676755
Asia,1871,899720
Asia,1872,972686
Asia,1873,930038
Asia,1874,1633613
Asia,1875,2702004
Asia,1876,2808297
Asia,1877,2890141
Asia,1878,5458039
Asia,1879,5671325
Asia,1880,6189085
Asia,1881,6348237
Asia,1882,6876694
Asia,1883,7604654
Asia,1884,8188970
Asia,1885,8536283
Asia,1886,9111720
Asia,1887,10535128
Asia,1888,11715276
Asia,1889,13780681
Asia,1890,15084545
Asia,1891,17201384
Asia,1892,18272584
Asia,1893,20411456
Asia,1894,22746340
Asia,1895,26302372
Asia,1896,28028198
Asia,1897,30485036
Asia,1898,36486296
Asia,1899,38644710
Asia,1900,43998036
Asia,1901,50358500
Asia,1902,52400960
Asia,1903,55056710
Asia,1904,61901096
Asia,1905,62997452
Asia,1906,70275550
Asia,1907,97189900
Asia,1908,105978184
Asia,1909,109197390
Asia,1910,110769210
Asia,1911,117750040
Asia,1912,119763160
Asia,1913,137350700
Asia,1914,142861780
Asia,1915,136647150
Asia,1916,149888400
Asia,1917,161983650
Asia,1918,166873390
Asia,1919,183556770
Asia,1920,175426770
Asia,1921,171794930
Asia,1922,181275740
Asia,1923,199207040
Asia,1924,213276580
Asia,1925,215441520
Asia,1926,218809420
Asia,1927,236791950
Asia,1928,248391970
Asia,1929,258343380
Asia,1930,257919020
Asia,1931,248672340
Asia,1932,248757810
Asia,1933,273053950
Asia,1934,309595840
Asia,1935,337246800
Asia,1936,364124260
Asia,1937,385461900
Asia,1938,394693250
Asia,1939,418811070
Asia,1940,471755680
Asia,1941,478348770
Asia,1942,447379940
Asia,1943,440089820
Asia,1944,440538900
Asia,1945,328069900
Asia,1946,315584400
Asia,1947,380350000
Asia,1948,383931260
Asia,1949,382588380
Asia,1950,400538660
Asia,1951,454912480
Asia,1952,504556450
Asia,1953,540103200
Asia,1954,591870460
Asia,1955,674600200
Asia,1956,749081200
Asia,1957,843316500
Asia,1958,1137698600
Asia,1959,1373387100
Asia,1960,1538169200
Asia,1961,1393016700
Asia,1962,1342041900
Asia,1963,1422549800
Asia,1964,1506792300
Asia,1965,1649219000
Asia,1966,1796366200
Asia,1967,1824324200
Asia,1968,2015173600
Asia,1969,2288600000
Asia,1970,2695769600
Asia,1971,2950089000
Asia,1972,3120029000
Asia,1973,3351352300
Asia,1974,3410965200
Asia,1975,3576356000
Asia,1976,3801276000
Asia,1977,4045921000
Asia,1978,4227023400
Asia,1979,4400641500
Asia,1980,4395379700
Asia,1981,4368962000
Asia,1982,4518591000
Asia,1983,4700642300
Asia,1984,4974816000
Asia,1985,5266013700
Asia,1986,5492050000
Asia,1987,5727687000
Asia,1988,6189060000
Asia,1989,6404369400
Asia,1990,6608574500
Asia,1991,7405573000
Asia,1992,7248764400
Asia,1993,7582536000
Asia,1994,7937216500
Asia,1995,8257986000
Asia,1996,8596896000
Asia,1997,8717279000
Asia,1998,8473237000
Asia,1999,8952734000
Asia,2000,9328854000
Asia,2001,9491190000
Asia,2002,10012849000
Asia,2003,11021268000
Asia,2004,11680722000
Asia,2005,12527827000
Asia,2006,13389901000
Asia,2007,14088936000
Asia,2008,14828029000
Asia,2009,15345886000
Asia,2010,16496831000
Asia,2011,17715628000
Asia,2012,18400993000
Asia,2013,18635370000
Asia,2014,18959088000
Asia,2015,19113157000
Asia,2016,19244577000
Asia,2017,19773784000
Asia,2018,20401152000
Asia,2019,20855636000
Asia,2020,20519535000
Asia,2021,21438681000
Asia,2022,21772347000
Europe,1750,9305937
Europe,1751,9407229
Europe,1752,9505168
Europe,1753,9610490
Europe,1754,9733580
Europe,1755,9793468
Europe,1756,9909914
Europe,1757,10093936
Europe,1758,10216358
Europe,1759,10338854
Europe,1760,10514331
Europe,1761,10747885
Europe,1762,10952198
Europe,1763,11191592
Europe,1764,11396982
Europe,1765,11643486
Europe,1766,11876080
Europe,1767,12152509
Europe,1768,12466936
Europe,1769,12780074
Europe,1770,13097216
Europe,1771,13369488
Europe,1772,13623507
Europe,1773,13808138
Europe,1774,14012415
Europe,1775,14338920
Europe,1776,14654124
Europe,1777,14959537
Europe,1778,15243483
Europe,1779,15535235
Europe,1780,15878726
Europe,1781,16234383
Europe,1782,16580954
Europe,1783,17062752
Europe,1784,17471092
Europe,1785,17961464
Europe,1786,18443832
Europe,1787,18855466
Europe,1788,19282564
Europe,1789,19859760
Europe,1790,20394430
Europe,1791,20928086
Europe,1792,21925550
Europe,1793,22293598
Europe,1794,22515992
Europe,1795,22311582
Europe,1796,22117712
Europe,1797,22086414
Europe,1798,23102266
Europe,1799,27481544
Europe,1800,32541872
Europe,1801,31714914
Europe,1802,40017350
Europe,1803,29238058
Europe,1804,31432090
Europe,1805,30907166
Europe,1806,32366874
Europe,1807,35818970
Europe,1808,35101290
Europe,1809,35925850
Europe,1810,39069692
Europe,1811,39723810
Europe,1812,40325010
Europe,1813,40679356
Europe,1814,41658940
Europe,1815,42979950
Europe,1816,44827450
Europe,1817,48552070
Europe,1818,50606024
Europe,1819,50160850
Europe,1820,49931828
Europe,1821,51224476
Europe,1822,53149412
Europe,1823,55448036
Europe,1824,56560324
Europe,1825,59588492
Europe,1826,60056732
Europe,1827,64281724
Europe,1828,65080500
Europe,1829,64502350
Europe,1830,86888240
Europe,1831,80978620
Europe,1832,79052150
Europe,1833,79703760
Europe,1834,85364220
Europe,1835,93060240
Europe,1836,102140710
Europe,1837,100864980
Europe,1838,100783830
Europe,1839,104097896
Europe,1840,112883860
Europe,1841,115892920
Europe,1842,122404710
Europe,1843,124561020
Europe,1844,132595670
Europe,1845,143794050
Europe,1846,144858750
Europe,1847,155573810
Europe,1848,156683300
Europe,1849,166586960
Europe,1850,176775170
Europe,1851,173859040
Europe,1852,180432720
Europe,1853,186703490
Europe,1854,221565870
Europe,1855,221537950
Europe,1856,236781490
Europe,1857,238329620
Europe,1858,241521540
Europe,1859,254665150
Europe,1860,281813200
Europe,1861,300479550
Europe,1862,305041120
Europe,1863,321231260
Europe,1864,346628300
Europe,1865,371215300
Europe,1866,383594200
Europe,1867,401824960
Europe,1868,406195200
Europe,1869,425361200
Europe,1870,431415100
Europe,1871,459749340
Europe,1872,496539900
Europe,1873,522505340
Europe,1874,484553570
Europe,1875,534645570
Europe,1876,547136100
Europe,1877,545944060
Europe,1878,551760260
Europe,1879,569583000
Europe,1880,640737540
Europe,1881,657770100
Europe,1882,680194400
Europe,1883,718762050
Europe,1884,714139650
Europe,1885,716654460
Europe,1886,715981300
Europe,1887,743280800
Europe,1888,787500400
Europe,1889,824552260
Europe,1890,862566300
Europe,1891,893004000
Europe,1892,879312830
Europe,1893,854870100
Europe,1894,927907600
Europe,1895,952615700
Europe,1896,996152960
Europe,1897,1045652100
Europe,1898,1079152100
Europe,1899,1149499400
Europe,1900,1205740700
Europe,1901,1195211300
Europe,1902,1196072700
Europe,1903,1245153500
Europe,1904,1268420100
Europe,1905,1305678100
Europe,1906,1347412200
Europe,1907,1492824000
Europe,1908,1517238000
Europe,1909,1518849500
Europe,1910,1538628400
Europe,1911,1574126000
Europe,1912,1632516000
Europe,1913,1767390800
Europe,1914,1573950200
Europe,1915,1492850200
Europe,1916,1561168400
Europe,1917,1533407700
Europe,1918,1394110300
Europe,1919,1183809300
Europe,1920,1373714700
Europe,1921,1253162200
Europe,1922,1397922800
Europe,1923,1335736800
Europe,1924,1541567200
Europe,1925,1526838700
Europe,1926,1308494000
Europe,1927,1670274800
Europe,1928,1676897500
Europe,1929,1820403000
Europe,1930,1721389300
Europe,1931,1606790700
Europe,1932,1493113600
Europe,1933,1537479300
Europe,1934,1682513900
Europe,1935,1767221900
Europe,1936,1876986400
Europe,1937,2037087600
Europe,1938,2046506900
Europe,1939,2094696600
Europe,1940,2228871200
Europe,1941,2143799000
Europe,1942,1997100000
Europe,1943,2003704800
Europe,1944,1890189300
Europe,1945,1234279600
Europe,1946,1657621400
Europe,1947,1908460500
Europe,1948,2056942600
Europe,1949,2243740200
Europe,1950,2383384000
Europe,1951,2630270000
Europe,1952,2714044400
Europe,1953,2791584800
Europe,1954,2970115000
Europe,1955,3233784800
Europe,1956,3445350100
Europe,1957,3593321500
Europe,1958,3631810600
Europe,1959,3713288400
Europe,1960,3964574500
Europe,1961,4109427000
Europe,1962,4336451600
Europe,1963,4609470500
Europe,1964,4839294000
Europe,1965,4981611000
Europe,1966,5153137700
Europe,1967,5267011600
Europe,1968,5512483000
Europe,1969,5812589600
Europe,1970,6094492700
Europe,1971,6323188000
Europe,1972,6552128500
Europe,1973,6844701700
Europe,1974,6862857000
Europe,1975,6902365700
Europe,1976,7277034000
Europe,1977,7333232600
Europe,1978,7565711000
Europe,1979,7745266700
Europe,1980,7749258000
Europe,1981,7467589600
Europe,1982,7407606300
Europe,1983,7414092000
Europe,1984,7465076700
Europe,1985,7789208600
Europe,1986,7802156000
Europe,1987,7825480700
Europe,1988,7862962000
Europe,1989,7828834300
Europe,1990,8038430700
Europe,1991,7738463000
Europe,1992,7097750500
Europe,1993,6807967000
Europe,1994,6447623000
Europe,1995,6424747500
Europe,1996,6473145300
Europe,1997,6267733500
Europe,1998,6240960000
Europe,1999,6157762000
Europe,2000,6155590700
Europe,2001,6282255400
Europe,2002,6249997000
Europe,2003,6396391000
Europe,2004,6429227000
Europe,2005,6421545500
Europe,2006,6522041000
Europe,2007,6479696000
Europe,2008,6404985300
Europe,2009,5892881400
Europe,2010,6123992000
Europe,2011,6049206000
Europe,2012,5999425000
Europe,2013,5844850700
Europe,2014,5614210000
Europe,2015,5614495000
Europe,2016,5606777000
Europe,2017,5638487600
Europe,2018,5612440600
Europe,2019,5436361000
Europe,2020,5029197000
Europe,2021,5310309000
Europe,2022,5105307600
North America,1750,0
North America,1751,0
North America,1752,0
North America,1753,0
North America,1754,0
North America,1755,0
North America,1756,0
North America,1757,0
North America,1758,0
North America,1759,0
North America,1760,0
North America,1761,0
North America,1762,0
North America,1763,0
North America,1764,0
North America,1765,0
North America,1766,0
North America,1767,0
North America,1768,0
North America,1769,0
North America,1770,0
North America,1771,0
North America,1772,0
North America,1773,0
North America,1774,0
North America,1775,0
North America,1776,0
North America,1777,0
North America,1778,0
North America,1779,0
North America,1780,0
North America,1781,0
North America,1782,0
North America,1783,0
North America,1784,0
North America,1785,3664
North America,1786,3664
North America,1787,3664
North America,1788,3664
North America,1789,3664
North America,1790,3664
North America,1791,3664
North America,1792,3664
North America,1793,3664
North America,1794,3664
North America,1795,3664
North America,1796,3664
North America,1797,3664
North America,1798,3664
North America,1799,3664
North America,1800,256479.98
North America,1801,271136
North America,1802,293120
North America,1803,300448
North America,1804,337088
North America,1805,344416
North America,1806,337088
North America,1807,381056
North America,1808,395712
North America,1809,406704
North America,1810,421360
North America,1811,450672
North America,1812,487312
North America,1813,523952
North America,1814,564256
North America,1815,604560
North America,1816,666848
North America,1817,721808
North America,1818,784096
North America,1819,765776
North America,1820,795088
North America,1821,831728
North America,1822,868368
North America,1823,905008
North America,1824,1018592
North America,1825,1139504
North America,1826,1319040
North America,1827,1450944
North America,1828,1597504
North America,1829,1799024
North America,1830,2092144
North America,1831,2268016
North America,1832,3026464
North America,1833,3532096
North America,1834,3385536
North America,1835,4319856
North America,1836,4733888
North America,1837,5309136
North America,1838,5034336
North America,1839,5521648
North America,1840,5877056
North America,1841,6217808
North America,1842,6921296
North America,1843,7767680
North America,1844,9310224
North America,1845,11208176
North America,1846,12736064
North America,1847,15103008
North America,1848,16825088
North America,1849,18268704
North America,1850,19851552
North America,1851,24702688
North America,1852,26875440
North America,1853,30264640
North America,1854,33283774
North America,1855,38310784
North America,1856,40216064
North America,1857,41271296
North America,1858,41912496
North America,1859,45635120
North America,1860,47818864
North America,1861,46137090
North America,1862,48009390
North America,1863,55513264
North America,1864,59499696
North America,1865,59840450
North America,1866,60474320
North America,1867,74459810
North America,1868,83297380
North America,1869,94380980
North America,1870,99844000
North America,1871,104801390
North America,1872,128152060
North America,1873,141115300
North America,1874,135919740
North America,1875,137623500
North America,1876,134677660
North America,1877,149198080
North America,1878,145838190
North America,1879,177652700
North America,1880,203916430
North America,1881,215784160
North America,1882,242011140
North America,1883,261313170
North America,1884,276189000
North America,1885,280406270
North America,1886,296260400
North America,1887,317530100
North America,1888,387186430
North America,1889,346834850
North America,1890,414160930
North America,1891,441886400
North America,1892,464918340
North America,1893,469480000
North America,1894,439768640
North America,1895,493973900
North America,1896,496110050
North America,1897,515774850
North America,1898,561765500
North America,1899,645458800
North America,1900,684367040
North America,1901,746684540
North America,1902,791569000
North America,1903,923924100
North America,1904,916872800
North America,1905,1023576770
North America,1906,1074778600
North America,1907,1253116700
North America,1908,1103991600
North America,1909,1214811100
North America,1910,1327425200
North America,1911,1327461900
North America,1912,1419666800
North America,1913,1533790300
North America,1914,1396793000
North America,1915,1443461200
North America,1916,1613035600
North America,1917,1782872800
North America,1918,1868648400
North America,1919,1596982000
North America,1920,1899729300
North America,1921,1595440600
North America,1922,1591500300
North America,1923,2062964200
North America,1924,1845232000
North America,1925,1892463700
North America,1926,2038048900
North America,1927,1989375000
North America,1928,1953542300
North America,1929,2090135200
North America,1930,1865707500
North America,1931,1582640900
North America,1932,1349432400
North America,1933,1441267700
North America,1934,1542143700
North America,1935,1600230000
North America,1936,1830100700
North America,1937,1921540100
North America,1938,1637472500
North America,1939,1801380900
North America,1940,2020247700
North America,1941,2199555600
North America,1942,2360994000
North America,1943,2442646500
North America,1944,2620185000
North America,1945,2528343300
North America,1946,2437710600
North America,1947,2676701700
North America,1948,2790326800
North America,1949,2352856000
North America,1950,2744660700
North America,1951,2840638500
North America,1952,2768157700
North America,1953,2831903700
North America,1954,2718188000
North America,1955,2966196000
North America,1956,3123996700
North America,1957,3103150300
North America,1958,3022597000
North America,1959,3114762000
North America,1960,3188963000
North America,1961,3184178700
North America,1962,3309201700
North America,1963,3442070500
North America,1964,3620783400
North America,1965,3771195000
North America,1966,3955965200
North America,1967,4126583300
North America,1968,4288999000
North America,1969,4501258000
North America,1970,4861966300
North America,1971,4915418000
North America,1972,5161172500
North America,1973,5396047000
North America,1974,5250139600
North America,1975,5126900700
North America,1976,5433470000
North America,1977,5589918000
North America,1978,5676014600
North America,1979,5791393000
North America,1980,5620071400
North America,1981,5494361600
North America,1982,5262363600
North America,1983,5202117600
North America,1984,5459921000
North America,1985,5463513600
North America,1986,5448221700
North America,1987,5654275000
North America,1988,5903724000
North America,1989,6015881000
North America,1990,5989847000
North America,1991,5935607300
North America,1992,6061895000
North America,1993,6166705000
North America,1994,6290008600
North America,1995,6349919000
North America,1996,6570372600
North America,1997,6687401500
North America,1998,6759180300
North America,1999,6854257000
North America,2000,7100392000
North America,2001,7011180500
North America,2002,7062293000
North America,2003,7175886000
North America,2004,7276133000
North America,2005,7324302300
North America,2006,7259958300
North America,2007,7366565000
North America,2008,7133400600
North America,2009,6651773400
North America,2010,6866123000
North America,2011,6768487000
North America,2012,6584052000
North America,2013,6718273000
North America,2014,6755319000
North America,2015,6609918000
North America,2016,6467595000
North America,2017,6418242600
North America,2018,6599175700
North America,2019,6489114600
North America,2020,5835101000
North America,2021,6201319400
North America,2022,6279689000
Oceania,1750,0
Oceania,1751,0
Oceania,1752,0
Oceania,1753,0
Oceania,1754,0
Oceania,1755,0
Oceania,1756,0
Oceania,1757,0
Oceania,1758,0
Oceania,1759,0
Oceania,1760,0
Oceania,1761,0
Oceania,1762,0
Oceania,1763,0
Oceania,1764,0
Oceania,1765,0
Oceania,1766,0
Oceania,1767,0
Oceania,1768,0
Oceania,1769,0
Oceania,1770,0
Oceania,1771,0
Oceania,1772,0
Oceania,1773,0
Oceania,1774,0
Oceania,1775,0
Oceania,1776,0
Oceania,1777,0
Oceania,1778,0
Oceania,1779,0
Oceania,1780,0
Oceania,1781,0
Oceania,1782,0
Oceania,1783,0
Oceania,1784,0
Oceania,1785,0
Oceania,1786,0
Oceania,1787,0
Oceania,1788,0
Oceania,1789,0
Oceania,1790,0
Oceania,1791,0
Oceania,1792,0
Oceania,1793,0
Oceania,1794,0
Oceania,1795,0
Oceania,1796,0
Oceania,1797,0
Oceania,1798,0
Oceania,1799,0
Oceania,1800,0
Oceania,1801,0
Oceania,1802,0
Oceania,1803,0
Oceania,1804,0
Oceania,1805,236
Oceania,1806,661
Oceania,1807,629
Oceania,1808,787
Oceania,1809,1259
Oceania,1810,1259
Oceania,1811,2203
Oceania,1812,2203
Oceania,1813,2832
Oceania,1814,3451
Oceania,1815,2753
Oceania,1816,2281
Oceania,1817,2045
Oceania,1818,1888
Oceania,1819,3540
Oceania,1820,6160
Oceania,1821,3147
Oceania,1822,3934.0002
Oceania,1823,4720
Oceania,1824,4720
Oceania,1825,2870
Oceania,1826,6360
Oceania,1827,5902
Oceania,1828,3786
Oceania,1829,6031
Oceania,1830,5748
Oceania,1831,1421
Oceania,1832,11239
Oceania,1833,10718
Oceania,1834,13358
Oceania,1835,19498
Oceania,1836,19897
Oceania,1837,25305
Oceania,1838,27094
Oceania,1839,33487
Oceania,1840,47605
Oceania,1841,54819
Oceania,1842,62779
Oceania,1843,40692
Oceania,1844,36374
Oceania,1845,35125
Oceania,1846,61308
Oceania,1847,64088
Oceania,1848,71507
Oceania,1849,76336
Oceania,1850,112052
Oceania,1851,106379
Oceania,1852,106055
Oceania,1853,152321
Oceania,1854,183526
Oceania,1855,215678
Oceania,1856,298886
Oceania,1857,331100
Oceania,1858,340483
Oceania,1859,484948
Oceania,1860,599769
Oceania,1861,560575
Oceania,1862,787635
Oceania,1863,720450
Oceania,1864,903160
Oceania,1865,973508
Oceania,1866,1280060
Oceania,1867,1239852
Oceania,1868,1532259
Oceania,1869,1464684
Oceania,1870,1402391
Oceania,1871,1440910
Oceania,1872,1636610
Oceania,1873,1930549
Oceania,1874,2125629
Oceania,1875,2142736
Oceania,1876,2158161
Oceania,1877,2372097
Oceania,1878,2917052
Oceania,1879,3083507
Oceania,1880,3073339
Oceania,1881,3641577
Oceania,1882,4277829
Oceania,1883,5073743
Oceania,1884,5590824
Oceania,1885,5999834
Oceania,1886,6009109
Oceania,1887,6261250
Oceania,1888,6972248
Oceania,1889,7562008
Oceania,1890,6872483
Oceania,1891,8375925
Oceania,1892,7961785
Oceania,1893,7315646
Oceania,1894,8130214
Oceania,1895,8373957
Oceania,1896,8936921
Oceania,1897,9782685
Oceania,1898,10536444
Oceania,1899,10873019
Oceania,1900,12607824
Oceania,1901,14179680
Oceania,1902,14436160
Oceania,1903,14393768
Oceania,1904,14977158
Oceania,1905,15591857
Oceania,1906,18219918
Oceania,1907,19572344
Oceania,1908,20943384
Oceania,1909,18845024
Oceania,1910,22609452
Oceania,1911,24136106
Oceania,1912,26073290
Oceania,1913,27014900
Oceania,1914,30004424
Oceania,1915,27201164
Oceania,1916,24891626
Oceania,1917,25951116
Oceania,1918,27907988
Oceania,1919,26314662
Oceania,1920,29863852
Oceania,1921,27284434
Oceania,1922,28483052
Oceania,1923,29520592
Oceania,1924,32180746
Oceania,1925,33720956
Oceania,1926,33859450
Oceania,1927,35764830
Oceania,1928,33733316
Oceania,1929,31800364
Oceania,1930,30764512
Oceania,1931,26789996
Oceania,1932,26589732
Oceania,1933,28327570
Oceania,1934,30191492
Oceania,1935,33108736
Oceania,1936,35690024
Oceania,1937,38137220
Oceania,1938,37942420
Oceania,1939,42445464
Oceania,1940,40105132
Oceania,1941,44335188
Oceania,1942,47122844
Oceania,1943,46564212
Oceania,1944,46496400
Oceania,1945,44779228
Oceania,1946,48271880
Oceania,1947,50227836
Oceania,1948,52515016
Oceania,1949,53672830
Oceania,1950,64713932
Oceania,1951,69779190
Oceania,1952,72499576
Oceania,1953,72268020
Oceania,1954,77804776
Oceania,1955,82445600
Oceania,1956,86729070
Oceania,1957,87260540
Oceania,1958,89274136
Oceania,1959,94416940
Oceania,1960,100298744
Oceania,1961,100182616
Oceania,1962,103294030
Oceania,1963,109549700
Oceania,1964,118717740
Oceania,1965,129477440
Oceania,1966,132279140
Oceania,1967,138611220
Oceania,1968,145432300
Oceania,1969,153718830
Oceania,1970,166214060
Oceania,1971,170642140
Oceania,1972,174019410
Oceania,1973,193619740
